Body length / µm, Eye area / µm^2,Swim bladder area / µm^2, Yolc sac area / µm^2,hpf,replicate,temperature
4135.75,89166.48,73818.42,217529.99,119,1,28
3906.34,77887.7,34686.44,222012.7,119,1,28
3975.63,89510.24,20318.53,205164.21,119,1,28
3944.63,83596.77,78821.41,222328.58,119,1,28
3855.33,90267.42,23895.41,243501.85,119,1,28
3883.98,83336.64,23937.22,225821.84,119,1,28
3588.36,69995.34,52691.61,205057.36,119,1,28
3711.29,79011.86,75848.42,191037.86,119,1,28
3798.65,77009.74,110925.06,212838.24,119,1,28
3646.8,58758.37,29539.45,205586.93,119,2,28
3807.62,55529.89,36971.92,224256.38,119,2,28
3996.49,90239.55,29153.89,223513.13,119,2,28
3860.82,77125.87,75569.7,195004.94,119,2,28
3763.11,69298.55,26864.46,204448.83,119,2,28
3795.84,57550.59,20601.89,284631.31,119,2,28
3890.11,54275.66,25595.59,345912.07,119,2,28
3849.54,82797.78,31811,190931.01,119,2,28
4015.01,74515.22,88539.37,214566.29,119,2,28
3926.19,80851.4,86044.84,178769.63,119,2,28
3878.73,83452.77,26171.61,202442.06,119,2,28
3765.62,68185.09,23918.64,197425.14,119,2,28
3718.69,91679.59,15854.4,225445.57,119,2,28
4003.17,86709.12,14172.8,295538.47,119,2,28
4045.16,90262.77,9160.53,256225.32,119,2,28
3745.95,81153.35,24550.4,19361,119,2,28
3876.21,92171.99,20578.67,208030.35,119,2,28
3886.62,80814.24,80591.26,171908.52,119,2,28
4048.03,87034.29,29000.59,250023.84,119,2,28
3882.61,78644.89,106869.71,162845.55,119,2,28
3779.96,77608.98,9541.44,237741.68,119,3,28
3879.47,77288.46,18557.96,242433.43,119,3,28
3914.41,79230.19,88330.33,183038.65,119,3,28
3889.45,84943.91,87805.41,203250.34,119,3,28
3877.59,81106.89,11845.51,211402.84,119,3,28
3718.52,70390.19,9434.6,197197.52,119,3,28
3938.72,83475.99,79796.92,201605.91,119,3,28
3742.84,74784.64,82625.91,223150.8,119,3,28
3573.71,52199.21,16356.09,268247.34,119,3,28
3700.23,56078.03,18046.98,288695.94,119,3,28
3905.92,81724.72,20128.07,242870.09,119,3,28
3572.5,50591.93,14209.96,255129.02,119,3,28
3934.42,81227.67,13201.94,243808.44,119,3,28
3811.81,71844.17,57123.22,207714.47,119,3,28
3935.52,77525.37,84823.13,203998.24,119,3,28
3919.34,81408.84,76967.93,217237.33,119,3,28
3860.3,77850.54,10595.92,214821.78,119,3,28
3794.39,79875.89,15459.55,235047.4,119,3,28
3844.1,74473.41,41538.25,198563.24,119,3,28
4036.51,74227.21,16658.04,267453,119,3,28
3885.87,80558.75,111923.8,173408.95,119,3,28
3909.06,79713.3,13578.2,198865.18,119,3,28
4019.84,83183.34,89909.73,205944.62,119,3,28
3357,62316.66,-,363229.74,72,1,26
3260.25,67152.42,-,336379.92,72,1,26
3350.65,62665.06,-,358993.23,72,1,26
3218.83,52324.63,-,358440.44,72,1,26
3211.41,56296.36,-,367359.41,72,1,26
3142.46,52719.48,-,312252.25,72,1,26
3253.11,55664.6,-,310087.54,72,1,26
3017.12,53262.98,-,290795.62,72,1,26
3175.06,64328.08,-,342990.18,72,1,26
3213.6,66706.47,-,342158.67,72,1,26
3235.86,52431.47,-,355040.08,72,1,26
3200.6,58512.17,-,320474.42,72,1,26
2997.7,49569.97,-,288208.19,72,1,26
3069.6,53304.79,-,259788.26,72,1,26
3321.94,50652.32,-,330271.36,72,1,26
3297.94,66785.44,-,304448.15,72,1,26
3216.08,60932.37,-,301902.52,72,1,26
2971.52,49370.22,-,274931.93,72,2,26
3242.97,46230,-,270895.16,72,2,26
3322.11,59984.73,-,315188.08,72,2,26
3345.85,72773.23,-,296513.98,72,2,26
3204.89,59078.89,-,334554.32,72,2,26
3348.24,50043.79,-,345229.21,72,2,26
3197.22,48264.64,-,285755.47,72,2,26
3322.12,51507.06,-,307091.32,72,2,26
3332.27,50243.54,-,309311.77,72,2,26
3359.64,59715.3,-,349711.93,72,2,26
3444.86,53095.75,-,385926.66,72,2,26
3236.59,53170.07,-,321268.77,72,2,26
3262.92,55520.59,-,278383.38,72,2,26
3318.01,50094.89,-,304875.52,72,2,26
3189.36,49184.41,-,279154.5,72,2,26
3378.35,50754.52,-,354756.72,72,2,26
3183.29,44042.06,-,282596.67,72,2,26
3300.91,52106.3,-,299157.15,72,2,26
3175.39,47391.32,-,275758.79,72,2,26
3315.29,53476.66,-,289611.07,72,2,26
3281.38,53541.7,-,389062.24,72,2,26
3229.43,60955.59,-,296230.62,72,2,26
3231.02,52951.75,-,298344.23,72,2,26
3223.98,48431.87,-,295106.45,72,2,26
3288.29,47433.13,-,350678.15,72,3,26
3182.6,45612.18,-,303124.24,72,3,26
3382.81,49249.44,-,335952.55,72,3,26
3375.21,51702.16,-,291534.22,72,3,26
3062.77,60412.09,-,348810.74,72,3,26
3207.78,49955.53,-,312772.52,72,3,26
3406.41,53783.25,-,313302.08,72,3,26
3375.6,55599.56,-,326745.58,72,3,26
3377.16,48993.95,-,328752.34,72,3,26
3379.91,52450.05,-,320562.68,72,3,26
3309.06,53815.77,-,332501.1,72,3,26
3350.17,48385.42,-,274555.66,72,3,26
3508.19,51311.96,-,344040.02,72,3,26
3196.68,46936.09,-,290939.62,72,3,26
3110.9,48738.46,-,323800.46,72,3,26
3314.52,47711.85,-,359504.21,72,3,26
3234.56,41863.42,-,316024.23,72,3,26
3344.31,52306.05,-,319503.56,72,3,26
3266.56,47042.93,-,362514.37,72,3,26
3339.7,47428.49,-,309246.72,72,3,26
3052.97,48910.34,-,320901.79,72,3,26
3466.38,56319.59,-,344955.14,72,1,28
3329.95,59496.97,-,323814.39,72,1,28
3418.62,66720.41,-,319828.73,72,1,28
3461.75,55070,-,321440.65,72,1,28
3369.12,64281.63,-,339431.88,72,1,28
3433.44,54535.79,-,331349.07,72,1,28
3440.05,55999.06,-,319995.96,72,1,28
3331.61,57086.06,--,325653.93,72,1,28
4316.88,64300.21,-,288361.48,72,1,28
3316.86,59715.3,-,323596.06,72,1,28
3195.66,57731.76,-,281203.08,72,1,28
3386.03,56988.51,-,306557.11,72,1,28
3162.84,57689.95,-,261116.81,72,1,28
3239.79,55483.43,-,318825.34,72,1,28
3307.01,64913.39,-,313250.99,72,1,28
3219.59,69461.13,-,265042.09,72,1,28
3257.11,64815.83,-,309242.09,72,1,28
3240.72,62771.9,-,284594.15,72,1,28
3321.14,57532.01,-,274676.44,72,2,28
3403.25,55344.07,-,333523.06,72,2,28
3470.89,60625.78,-,367373.35,72,2,28
3203.37,50536.19,-,315787.32,72,2,28
3313.1,49193.7,-,320585.91,72,2,28
3364.37,55362.65,-,269171.76,72,2,28
3174.65,51288.73,-,315253.11,72,2,28
3220.71,47242.67,-,265961.86,72,2,28
3259.71,45537.85,-,289945.53,72,2,28
3287.15,63268.95,-,313376.41,72,2,28
3404.81,63896.07,-,299463.74,72,2,28
3198.85,53053.94,-,339208.91,72,2,28
3302.18,54085.2,-,307620.89,72,2,28
3388.17,54684.44,-,322290.74,72,2,28
3234,52724.13,-,308573.17,72,2,28
3358.64,55636.73,-,387756.91,72,2,28
3443.24,73846.29,-,331423.39,72,2,28
3285.95,61945.04,-,310356.97,72,2,28
3296.5,57401.94,-,270946.26,72,3,28
3372.34,56175.58,-,273909.96,72,3,28
3423.87,55868.99,-,273450.08,72,3,28
3408.43,55237.23,-,283562.85,72,3,28
3400.49,62669.71,-,296873.86,72,3,28
3484.73,54466.11,-,296890.25,72,3,28
3394.17,59055.67,-,293847.58,72,3,28
3467.69,59984.73,-,306069.36,72,3,28
3403.98,54159.52,-,284543.05,72,3,28
3328.64,56370.68,-,287571.78,72,3,28
3298.19,52217.79,-,267634.17,72,3,28
3463.7,56449.65,-,336033.23,72,3,28
3722.56,62901.97,-,340686.11,72,3,28
3790.4,63278.24,-,352522.33,72,3,28
3284.16,51897.26,-,290182.44,72,3,28
3411.16,56184.87,-,311457.9,72,3,28
3561.79,59729.23,-,325849.03,72,3,28
3344.26,51404.86,-,306524.6,72,3,28
3442.71,52245.66,-,326582.99,72,3,28
3359.99,56328.88,-,286559.11,72,3,28
3620.9,67208.16,-,305010.23,96,1,26
3544.79,66269.81,-,275062,96,1,26
3655.98,74389.79,-,330020.51,96,1,26
3581.91,72731.42,-,305516.57,96,1,26
3490.29,70325.16,-,306204.07,96,1,26
3630.56,73219.18,-,247979.91,96,1,26
3585,77111.94,-,292156.69,96,1,26
3310.9,51985.52,-,237165.66,96,1,26
3552.44,71946.37,-,278648.17,96,1,26
3560.48,65981.8,-,334243.09,96,1,26
3578.93,59970.79,-,320414.03,96,1,26
3545.53,69526.17,-,288013.09,96,1,26
3636.74,71342.48,-,283595.41,96,1,26
3497.29,69591.2,-,277956.02,96,1,26
3558.27,60988.11,-,258854.55,96,1,26
3565.17,71523.64,-,295282.98,96,1,26
3571.4,67212.81,-,261832.19,96,1,26
3475.55,61638.45,-,281556.12,96,1,26
3477.71,59808.2,-,246855.75,96,1,26
3586.79,67236.03,-,277133.8,96,1,26
3580.51,68378.78,-,283850.9,96,1,26
3426.92,65261.78,0,267374.03,96,2,26
3512.8,64611.44,0,267164.99,96,2,26
3479.99,66162.97,0,304875.52,96,2,26
3515.26,65141.01,11079.03,247826.62,96,2,26
3577.03,67407.91,0,340156.55,96,2,26
3517.67,68044.32,11627.18,278076.79,96,2,26
3493.26,66079.36,15798.66,257553.87,96,2,26
3565.98,67068.8,15027.54,262603.31,96,2,26
3486.54,69349.65,0,288932.85,96,2,26
3446.21,67904.96,0,282912.55,96,2,26
3471.61,68323.03,17549.93,246841.81,96,2,26
3557.12,67589.08,0,294938.04,96,2,26
3462.81,62116.92,0,288284.96,96,2,26
3345.6,51985.52,0,260931,96,2,26
3536.77,59032.44,11223.04,237532.64,96,2,26
3478.1,67867.8,0,264057.29,96,2,26
3389.43,66975.9,0,286698.47,96,2,26
3485.53,61373.67,12003.45,257967.3,96,2,26
3390.74,61094.95,12212.49,267285.77,96,2,26
3475.34,68759.69,11427.43,255561.04,96,2,26
3665.24,78412.62,10080.3,286322.2,96,2,26
3499.37,64402.4,0,339966.09,96,2,26
3690.72,62432.8,0,322606.62,96,2,26
3590.85,55887.57,0,281021.91,96,3,26
3605.93,66822.6,0,271057.75,96,3,26
3590.91,60955.59,0,295282.98,96,3,26
3525.49,57025.67,0,271689.51,96,3,26
3558.13,52645.16,0,277849.17,96,3,26
3710.02,62637.19,0,285411.72,96,3,26
3721.18,67751.66,0,297340.84,96,3,26
3655.16,71974.24,0,263792.5,96,3,26
3014.25,46336.84,0,265455.52,96,3,26
3491.77,65224.62,0,266338.13,96,3,26
3845.77,62214.47,0,352782.47,96,3,26
3555.25,66934.09,0,287265.19,96,3,26
3473.43,60723.33,0,271187.82,96,3,26
3601.5,67914.25,0,257196.18,96,3,26
3608,62604.67,0,292588.7,96,3,26
3753.64,67291.78,0,260615.12,96,3,26
3702.77,65238.56,9996.68,267564.49,96,3,26
3713.4,73558.28,0,290451.87,96,3,26
3596.7,62423.51,0,268173.02,96,3,26
3672.2,72104.31,0,296095.9,96,3,26
3632.05,68773.63,0,297498.78,96,3,26
3770.13,63524.44,32619.28,252536.95,96,1,28
3644.12,62901.97,30384.89,256866.37,96,1,28
3781.08,90383.55,0,324023.43,96,1,28
3781.28,80679.53,24211.29,240231.56,96,1,28
3757,61703.49,11241.62,258171.69,96,1,28
3504.05,66478.85,14024.15,212271.51,96,1,28
3641.09,71658.36,16346.8,223991.6,96,1,28
3705.07,62702.22,31058.46,221673.59,96,1,28
3788.32,79062.96,18251.37,304373.82,96,1,28
3732.13,82045.24,15213.35,318068.16,96,1,28
3621.15,60495.71,21781.8,219694.7,96,1,28
3744.64,87182.94,0,293829,96,1,28
3713.15,79778.34,23328.68,286475.49,96,1,28
3691.07,79434.59,20193.11,282475.89,96,1,28
3775.76,84851,18901.72,260466.47,96,1,28
3651.61,83852.26,22687.63,246702.46,96,1,28
3741.42,78914.31,0,258794.16,96,1,28
3665.67,64755.45,0,258691.97,96,1,28
3802.33,79155.87,0,268307.73,96,1,28
3835.7,62116.92,22859.51,253846.92,96,1,28
3639.89,75713.7,0,316261.14,96,2,28
3601.31,52468.63,28108.69,242884.02,96,2,28
3817.92,67454.36,13787.24,281114.82,96,2,28
3785.29,65503.34,15027.45,316033.52,96,2,28
3519.37,48928.92,18938.88,217046.88,96,2,28
3672.95,70720.01,25349.39,269980.04,96,2,28
3589.5,60100.86,22162.71,237277.15,96,2,28
3634.03,55385.88,21117.52,257423.8,96,2,28
3676.47,55613.5,16397.9,241889.93,96,2,28
3602.81,66506.72,18228.15,263295.46,96,2,28
3652.84,75950.61,20908.48,280826.81,96,2,28
3662.73,71788.43,24044.06,250441.92,96,2,28
3570.55,57076.77,11901.25,238652.16,96,2,28
3607.34,71904.56,14247.13,256875.66,96,2,28
3737.28,75602.22,11464.59,253958.41,96,2,28
3826.77,82825.65,18488.28,330020.51,96,2,28
3612.29,66715.76,12904.64,250571.99,96,2,28
3626.5,80479.78,0,280952.23,96,2,28
3677.44,79072.25,20620.48,233054.57,96,2,28
3892.74,72373.73,49481.71,236724.36,96,2,28
3630.93,68638.91,0,277259.22,96,3,28
3678.81,72842.91,0,267885.01,96,3,28
3506.59,78956.12,18014.46,258018.4,96,3,28
3662.12,68202.26,18395.38,251607.89,96,3,28
3735.26,75439.63,8189.66,253503.17,96,3,28
3480.35,54054.01,13912.67,254906.05,96,3,28
3624.19,73321.37,17062.18,222184.58,96,3,28
3790.54,74872.9,31889.97,252662.37,96,3,28
3762.92,66492.79,0,274876.18,96,3,28
3793,60723.33,0,297224.71,96,3,28
3754.94,66172.26,0,315229.88,96,3,28
3742.27,73920.62,11785.12,249015.81,96,3,28
3674.02,68276.58,19463.8,273231.75,96,3,28
3786.36,62483.9,13406.33,262027.29,96,3,28
3675.34,57508.78,13489.94,275461.49,96,3,28
3820.01,57374.07,0,297577.75,96,3,28
3811.69,68309.1,27936.82,241272.1,96,3,28
3831.15,69001.25,9820.16,248244.69,96,3,28
3827.71,69502.94,41909.87,243989.6,96,3,28
